"age","balance","duration","marital_married","marital_single","education_secondary","education_tertiary","education_unknown","housing","loan","poutcome_other","poutcome_success","poutcome_unknown","y"
60,81,101,1,0,0,1,0,1,0,0,0,1,0
39,0,203,1,0,1,0,0,1,0,0,0,1,0
46,229,197,1,0,0,1,0,1,0,0,0,1,0
44,-674,257,1,0,1,0,0,1,0,0,0,1,0
53,90,124,1,0,0,0,0,0,0,0,0,1,0
52,128,229,1,0,0,0,0,1,0,0,0,1,0
59,179,55,1,0,0,0,0,1,0,0,0,1,0
27,0,400,0,1,0,1,0,1,0,0,0,1,0
44,54,197,1,0,1,0,0,1,0,0,0,1,0
47,151,190,1,0,0,1,0,1,0,0,0,1,0
34,61,21,1,0,1,0,0,0,1,0,0,1,0
59,30,514,0,1,1,0,0,1,0,0,0,1,0
45,523,849,1,0,0,1,0,1,0,0,0,1,0
29,31,194,0,0,1,0,0,1,0,0,0,1,0
46,79,144,0,0,1,0,0,0,0,0,0,1,0
56,-34,212,1,0,0,0,0,1,1,0,0,1,0
36,448,286,1,0,0,0,0,1,0,0,0,1,0
59,81,107,0,0,0,0,0,1,0,0,0,1,0
44,144,247,1,0,1,0,0,1,0,0,0,1,0
41,351,518,1,0,1,0,0,1,0,0,0,1,0
33,-67,364,0,1,0,1,0,1,0,0,0,1,0
59,262,178,0,0,0,1,0,0,0,0,0,1,0
57,0,98,1,0,0,0,0,0,0,0,0,1,0
56,56,439,0,0,0,0,1,1,0,0,0,1,0
51,26,79,1,0,1,0,0,1,0,0,0,1,0
34,3,120,1,0,0,0,1,1,0,0,0,1,0
43,41,127,1,0,1,0,0,1,1,0,0,1,0
52,7,175,1,0,0,1,0,0,1,0,0,1,0
33,105,262,0,1,1,0,0,1,0,0,0,1,0
29,818,61,0,1,1,0,0,1,1,0,0,1,0
34,-16,78,1,0,1,0,0,1,1,0,0,1,0
31,0,143,1,0,1,0,0,1,0,0,0,1,0
55,2476,579,1,0,1,0,0,1,0,0,0,1,1
55,1185,677,1,0,0,0,1,0,0,0,0,1,0
32,217,345,0,1,1,0,0,1,0,0,0,1,0
38,1685,185,0,1,1,0,0,1,0,0,0,1,0
55,802,100,0,1,1,0,0,1,1,0,0,1,0
28,0,125,0,1,0,1,0,1,0,0,0,1,0
23,94,193,1,0,1,0,0,1,0,0,0,1,0
32,0,136,0,1,1,0,0,1,0,0,0,1,0
43,0,73,0,1,0,0,1,0,0,0,0,1,0
32,517,528,1,0,1,0,0,1,0,0,0,1,0
46,265,541,1,0,1,0,0,1,0,0,0,1,0
53,947,163,0,0,0,0,0,1,0,0,0,1,0
34,3,301,0,1,1,0,0,1,0,0,0,1,0
57,42,46,1,0,0,1,0,0,0,0,0,1,0
37,37,204,1,0,1,0,0,1,0,0,0,1,0
59,57,98,1,0,1,0,0,1,0,0,0,1,0
33,22,71,1,0,1,0,0,1,0,0,0,1,0
56,8,157,0,0,0,0,0,1,0,0,0,1,0
48,293,243,1,0,1,0,0,1,0,0,0,1,0
43,3,186,1,0,0,0,0,1,0,0,0,1,0
54,348,579,1,0,0,0,0,1,0,0,0,1,0
51,-19,163,1,0,0,0,1,1,0,0,0,1,0
26,0,610,0,1,1,0,0,1,0,0,0,1,0
40,-4,2033,1,0,0,1,0,1,0,0,0,1,0
39,18,85,1,0,1,0,0,1,0,0,0,1,0
50,139,114,1,0,0,0,0,0,0,0,0,1,0
41,0,114,1,0,1,0,0,1,0,0,0,1,0
51,1883,57,1,0,0,0,1,1,0,0,0,1,0
60,216,238,0,0,1,0,0,1,0,0,0,1,0
52,782,93,1,0,1,0,0,1,0,0,0,1,0
48,904,128,1,0,1,0,0,1,0,0,0,1,0
48,1705,107,1,0,0,0,1,1,0,0,0,1,0
39,47,181,0,1,0,1,0,1,0,0,0,1,0
47,176,303,0,1,1,0,0,1,0,0,0,1,0
40,1225,558,1,0,1,0,0,1,0,0,0,1,0
45,86,270,1,0,1,0,0,1,0,0,0,1,0
26,82,228,0,1,1,0,0,1,0,0,0,1,0
52,271,99,1,0,0,1,0,1,0,0,0,1,0
54,1378,240,1,0,1,0,0,1,0,0,0,1,0
54,184,673,1,0,0,1,0,0,0,0,0,1,1
50,0,233,1,0,0,0,0,0,0,0,0,1,0
35,0,1056,1,0,1,0,0,1,0,0,0,1,0
44,1357,250,1,0,1,0,0,1,1,0,0,1,0
53,19,252,1,0,0,0,1,1,0,0,0,1,0
35,434,138,0,1,0,0,0,0,0,0,0,1,0
60,92,130,0,0,1,0,0,1,0,0,0,1,0
53,1151,412,0,0,1,0,0,1,0,0,0,1,0
48,41,179,1,0,1,0,0,1,0,0,0,1,0
34,51,19,1,0,1,0,0,1,0,0,0,1,0
54,214,458,1,0,1,0,0,1,0,0,0,1,0
51,1161,717,1,0,1,0,0,1,0,0,0,1,0
31,37,313,1,0,0,1,0,1,0,0,0,1,0
35,787,683,0,0,1,0,0,1,0,0,0,1,0
35,59,1077,1,0,1,0,0,1,0,0,0,1,0
38,253,416,1,0,1,0,0,1,0,0,0,1,0
36,211,146,1,0,0,1,0,1,0,0,0,1,0
58,235,167,1,0,0,0,0,1,0,0,0,1,0
40,4384,315,0,0,0,0,1,1,0,0,0,1,0
54,4080,140,1,0,1,0,0,0,0,0,0,1,0
34,53,346,0,1,1,0,0,1,1,0,0,1,0
31,0,562,0,1,0,1,0,1,0,0,0,1,0
51,2127,172,1,0,1,0,0,1,0,0,0,1,0
33,377,217,1,0,0,1,0,1,0,0,0,1,0
55,73,142,1,0,0,1,0,1,0,0,0,1,0
42,445,67,1,0,1,0,0,1,0,0,0,1,0
34,243,291,1,0,1,0,0,1,0,0,0,1,0
33,307,309,0,1,1,0,0,1,0,0,0,1,0
38,155,248,1,0,1,0,0,1,0,0,0,1,0
50,173,98,0,0,0,1,0,0,1,0,0,1,0
43,400,256,1,0,0,1,0,1,0,0,0,1,0
61,1428,82,0,0,0,0,0,1,0,0,0,1,0
47,219,577,1,0,1,0,0,1,0,0,0,1,0
48,7,286,1,0,0,1,0,1,0,0,0,1,0
44,575,477,1,0,1,0,0,1,0,0,0,1,0
35,298,611,0,1,0,0,1,1,0,0,0,1,0
35,0,471,1,0,1,0,0,1,0,0,0,1,0
50,5699,381,1,0,1,0,0,1,0,0,0,1,0
41,176,42,1,0,0,1,0,1,1,0,0,1,0
41,517,251,1,0,0,1,0,1,0,0,0,1,0
39,257,408,0,1,0,0,1,1,0,0,0,1,0
42,56,215,1,0,1,0,0,1,0,0,0,1,0
38,-390,287,1,0,1,0,0,1,0,0,0,1,0
53,330,216,1,0,1,0,0,1,0,0,0,1,0
59,195,366,0,0,0,0,0,0,0,0,0,1,0
36,301,210,1,0,1,0,0,1,0,0,0,1,0
54,-41,288,1,0,0,0,0,1,0,0,0,1,0
40,483,168,1,0,0,1,0,1,0,0,0,1,0
47,28,338,1,0,0,0,1,0,0,0,0,1,0
53,13,410,1,0,0,0,1,0,0,0,0,1,0
46,965,177,1,0,0,0,0,0,0,0,0,1,0
39,378,127,1,0,0,1,0,1,1,0,0,1,0
40,219,357,1,0,1,0,0,1,0,0,0,1,0
28,324,175,1,0,0,0,0,1,0,0,0,1,0
35,-69,300,0,0,1,0,0,1,0,0,0,1,0
55,0,136,1,0,1,0,0,0,1,0,0,1,0
43,205,1419,0,0,0,0,1,1,0,0,0,1,0
48,278,125,1,0,0,0,0,1,0,0,0,1,0
58,1065,213,1,0,0,0,1,1,0,0,0,1,0
33,34,27,0,1,0,1,0,1,0,0,0,1,0
36,1033,238,1,0,0,0,1,0,0,0,0,1,0
53,1467,124,0,0,1,0,0,1,0,0,0,1,0
47,-12,18,1,0,0,0,0,1,0,0,0,1,0
31,388,730,1,0,1,0,0,1,0,0,0,1,0
57,294,746,1,0,1,0,0,1,0,0,0,1,0
53,1827,121,1,0,0,0,1,0,0,0,0,1,0
55,627,247,1,0,0,0,0,1,0,0,0,1,0
45,25,40,1,0,0,0,0,1,0,0,0,1,0
53,315,181,0,0,1,0,0,1,0,0,0,1,0
37,0,79,1,0,0,0,0,1,0,0,0,1,0
44,66,206,0,0,1,0,0,1,0,0,0,1,0
49,-9,389,0,0,0,0,0,1,1,0,0,1,0
46,349,127,1,0,1,0,0,1,1,0,0,1,0
43,100,702,1,0,0,0,1,1,0,0,0,1,0
38,0,151,1,0,1,0,0,0,0,0,0,1,0
43,434,117,1,0,1,0,0,1,0,0,0,1,0
49,3237,232,1,0,0,1,0,1,0,0,0,1,0
42,275,408,1,0,0,0,1,0,0,0,0,1,0
22,0,179,0,1,1,0,0,1,0,0,0,1,0
40,207,39,1,0,0,1,0,1,0,0,0,1,0
39,483,282,1,0,1,0,0,1,0,0,0,1,0
51,2248,714,1,0,1,0,0,1,0,0,0,1,0
49,428,50,1,0,1,0,0,1,0,0,0,1,0
53,0,181,1,0,1,0,0,1,1,0,0,1,0
34,0,142,0,1,1,0,0,1,0,0,0,1,0
33,140,227,0,0,1,0,0,1,0,0,0,1,0
50,297,119,0,1,0,1,0,1,0,0,0,1,0
39,279,361,1,0,0,0,0,1,0,0,0,1,0
59,901,73,0,0,1,0,0,1,0,0,0,1,0
30,2573,67,0,1,1,0,0,1,0,0,0,1,0
36,143,350,1,0,1,0,0,1,1,0,0,1,0
40,475,332,1,0,1,0,0,1,0,0,0,1,0
53,70,611,1,0,1,0,0,1,0,0,0,1,0
34,318,113,0,1,0,1,0,1,0,0,0,1,0
37,275,132,1,0,1,0,0,1,0,0,0,1,0
42,742,58,0,0,0,1,0,1,0,0,0,1,0
41,236,151,1,0,0,0,0,1,0,0,0,1,0
30,25,89,0,1,0,1,0,1,0,0,0,1,0
37,600,152,0,1,0,1,0,1,0,0,0,1,0
39,-349,611,0,0,1,0,0,1,0,0,0,1,0
41,183,110,1,0,0,0,0,1,1,0,0,1,0
40,0,463,1,0,0,0,0,1,0,0,0,1,0
42,0,562,0,1,0,1,0,1,1,0,0,1,1
40,0,962,0,0,0,0,0,1,0,0,0,1,0
57,1078,10,1,0,1,0,0,1,0,0,0,1,0
56,155,118,0,0,1,0,0,0,0,0,0,1,0
37,190,92,1,0,1,0,0,1,0,0,0,1,0
59,319,143,1,0,1,0,0,1,0,0,0,1,0
39,-185,189,0,0,1,0,0,1,0,0,0,1,0
49,47,234,1,0,1,0,0,0,0,0,0,1,0
38,570,75,0,1,1,0,0,1,0,0,0,1,0
36,19,189,1,0,0,1,0,0,0,0,0,1,0
50,61,621,1,0,0,0,0,1,0,0,0,1,0
41,-62,55,1,0,1,0,0,1,1,0,0,1,0
54,258,310,1,0,0,1,0,0,0,0,0,1,0
58,76,156,1,0,0,0,0,1,0,0,0,1,0
30,0,5,0,1,1,0,0,1,0,0,0,1,0
33,352,225,0,1,1,0,0,1,0,0,0,1,0
47,368,125,1,0,1,0,0,1,0,0,0,1,0
50,339,2,0,1,0,1,0,1,0,0,0,1,0
32,1331,286,1,0,1,0,0,1,0,0,0,1,0
40,672,164,1,0,1,0,0,1,0,0,0,1,0
37,58,98,1,0,0,1,0,1,0,0,0,1,0
54,447,742,0,1,0,0,1,1,0,0,0,1,0
24,423,226,0,1,1,0,0,1,0,0,0,1,0
54,0,120,1,0,0,1,0,0,0,0,0,1,0
34,19,362,1,0,1,0,0,1,0,0,0,1,0
56,13,357,0,0,0,0,0,1,0,0,0,1,0
31,3,200,0,1,1,0,0,1,0,0,0,1,0
24,82,204,0,1,1,0,0,1,0,0,0,1,0
42,28,126,0,0,0,0,0,1,0,0,0,1,0
57,792,65,1,0,1,0,0,1,0,0,0,1,0
42,408,107,1,0,0,0,1,1,0,0,0,1,0
51,531,267,1,0,1,0,0,1,0,0,0,1,0
57,211,248,1,0,1,0,0,1,0,0,0,1,0
36,62,215,0,1,1,0,0,1,0,0,0,1,0
53,257,209,1,0,0,0,1,1,0,0,0,1,0
50,1234,205,1,0,1,0,0,1,0,0,0,1,0
54,313,83,1,0,0,1,0,1,0,0,0,1,0
55,89,106,1,0,1,0,0,1,0,0,0,1,0
44,129,189,1,0,1,0,0,1,1,0,0,1,0
43,0,105,1,0,0,0,1,1,0,0,0,1,0
56,353,106,1,0,1,0,0,1,0,0,0,1,0
54,851,108,1,0,0,0,1,1,0,0,0,1,0
55,96,311,0,0,0,0,0,1,1,0,0,1,0
37,398,214,0,0,1,0,0,1,1,0,0,1,0
33,193,132,0,1,0,1,0,0,0,0,0,1,0
46,-358,358,1,0,1,0,0,1,0,0,0,1,0
36,539,453,1,0,1,0,0,1,1,0,0,1,0
51,0,364,0,1,1,0,0,1,0,0,0,1,0
40,0,136,0,1,0,0,0,0,0,0,0,1,0
42,490,386,1,0,1,0,0,1,0,0,0,1,0
51,0,173,1,0,1,0,0,1,0,0,0,1,0
49,403,241,1,0,0,0,1,1,0,0,0,1,0
48,161,224,1,0,1,0,0,1,0,0,0,1,0
32,2558,148,0,0,0,1,0,0,0,0,0,1,0
31,98,196,0,1,1,0,0,1,0,0,0,1,0
55,115,111,0,1,0,1,0,0,0,0,0,1,0
40,436,231,0,1,1,0,0,1,0,0,0,1,0
47,831,316,1,0,0,1,0,1,0,0,0,1,0
57,206,216,1,0,0,0,1,1,0,0,0,1,0
41,290,240,1,0,1,0,0,1,0,0,0,1,0
48,1,669,1,0,1,0,0,0,0,0,0,1,0
42,57,425,1,0,0,0,1,1,0,0,0,1,0
30,-457,143,0,1,1,0,0,1,0,0,0,1,0
58,1387,174,0,1,0,1,0,1,0,0,0,1,0
45,24598,313,0,0,0,1,0,1,0,0,0,1,0
49,30,135,1,0,1,0,0,1,0,0,0,1,0
42,1022,146,0,1,1,0,0,1,0,0,0,1,0
53,56,152,1,0,1,0,0,1,1,0,0,1,0
51,-2,402,0,1,1,0,0,0,0,0,0,1,0
32,121,213,0,1,1,0,0,1,0,0,0,1,0
41,842,144,0,1,1,0,0,1,0,0,0,1,0
43,693,124,0,0,1,0,0,1,0,0,0,1,0
40,-333,183,0,0,1,0,0,1,0,0,0,1,0
50,1533,325,1,0,0,0,0,1,0,0,0,1,0
34,46,39,1,0,0,1,0,1,0,0,0,1,0
53,18,503,1,0,0,0,1,0,0,0,0,1,0
45,44,95,1,0,1,0,0,1,0,0,0,1,0
39,-100,680,1,0,0,0,0,1,0,0,0,1,0
44,510,421,1,0,0,1,0,1,0,0,0,1,0
55,685,174,1,0,0,1,0,1,0,0,0,1,0
46,187,113,0,1,0,1,0,1,0,0,0,1,0
45,66,808,1,0,1,0,0,1,0,0,0,1,0
34,560,198,1,0,1,0,0,1,0,0,0,1,0
36,0,195,1,0,1,0,0,1,0,0,0,1,0
59,27,347,0,0,0,0,1,0,0,0,0,1,0
31,12,208,0,1,1,0,0,1,0,0,0,1,0
44,34,404,0,1,1,0,0,1,0,0,0,1,0
33,1068,396,0,1,0,1,0,1,0,0,0,1,0
40,211,216,1,0,1,0,0,1,0,0,0,1,0
46,377,98,0,1,0,1,0,1,0,0,0,1,0
48,263,350,1,0,0,1,0,1,0,0,0,1,0
42,1263,114,1,0,1,0,0,1,0,0,0,1,0
27,8,88,1,0,1,0,0,1,0,0,0,1,0
48,126,379,1,0,1,0,0,1,1,0,0,1,0
59,230,190,1,0,1,0,0,1,0,0,0,1,0
46,841,158,1,0,0,1,0,1,0,0,0,1,0
38,308,102,0,0,1,0,0,1,0,0,0,1,0
43,1,306,0,0,0,1,0,1,0,0,0,1,0
38,86,218,0,0,0,1,0,1,0,0,0,1,0
23,157,54,0,1,1,0,0,1,0,0,0,1,0
34,22,344,1,0,1,0,0,1,0,0,0,1,0
38,46,195,1,0,1,0,0,1,1,0,0,1,0
37,1293,652,1,0,1,0,0,0,0,0,0,1,0
25,122,286,0,1,1,0,0,1,0,0,0,1,0
48,131,189,1,0,0,0,1,1,0,0,0,1,0
49,143,83,0,1,1,0,0,1,0,0,0,1,0
38,393,184,0,1,1,0,0,0,0,0,0,1,0
43,98,235,1,0,0,0,0,1,0,0,0,1,0
33,0,290,1,0,0,1,0,1,0,0,0,1,0
55,224,232,1,0,1,0,0,1,0,0,0,1,0
38,757,133,1,0,1,0,0,1,0,0,0,1,0
49,245,318,1,0,1,0,0,1,1,0,0,1,0
40,8486,260,1,0,1,0,0,0,0,0,0,1,0
43,350,437,1,0,0,0,1,0,0,0,0,1,0
38,20,402,1,0,1,0,0,1,0,0,0,1,0
58,1667,85,1,0,1,0,0,1,1,0,0,1,0
57,345,125,1,0,0,0,1,1,0,0,0,1,0
32,10,501,1,0,1,0,0,1,0,0,0,1,0
56,830,1201,1,0,0,1,0,1,1,0,0,1,1
58,29,253,0,0,0,0,1,1,0,0,0,1,0
60,545,1030,0,0,1,0,0,1,0,0,0,1,1
37,8730,149,1,0,0,1,0,1,0,0,0,1,0
46,477,114,0,0,0,1,0,1,0,0,0,1,0
27,4,243,1,0,1,0,0,1,0,0,0,1,0
43,1205,769,1,0,1,0,0,1,0,0,0,1,0
32,0,135,0,1,1,0,0,1,1,0,0,1,0
40,263,231,0,1,1,0,0,1,0,0,0,1,0
38,1,76,1,0,1,0,0,0,0,0,0,1,0
34,283,199,1,0,1,0,0,0,1,0,0,1,0
47,206,152,1,0,0,0,0,1,0,0,0,1,0
42,17,124,1,0,0,0,0,1,0,0,0,1,0
48,141,424,1,0,1,0,0,1,1,0,0,1,0
29,16,43,0,1,0,1,0,1,0,0,0,1,0
50,206,154,1,0,1,0,0,1,0,0,0,1,0
52,7,203,1,0,0,0,1,0,0,0,0,1,0
50,0,326,1,0,0,1,0,0,0,0,0,1,0
58,0,393,1,0,0,1,0,0,0,0,0,1,0
46,1927,241,0,0,0,0,0,1,0,0,0,1,0
38,284,483,1,0,1,0,0,1,0,0,0,1,0
46,1660,259,1,0,1,0,0,1,0,0,0,1,0
32,406,227,0,1,1,0,0,1,0,0,0,1,0
51,230,673,1,0,0,0,0,1,0,0,0,1,0
39,-25,576,0,1,1,0,0,1,0,0,0,1,0
48,182,180,1,0,1,0,0,1,0,0,0,1,0
36,1169,168,1,0,0,1,0,1,0,0,0,1,0
34,67,90,0,0,1,0,0,1,0,0,0,1,0
40,77,505,1,0,1,0,0,0,0,0,0,1,0
43,0,245,1,0,1,0,0,1,0,0,0,1,0
52,55,186,0,0,0,0,0,1,1,0,0,1,0
33,72,623,1,0,1,0,0,1,0,0,0,1,0
49,163,496,0,1,0,1,0,1,0,0,0,1,0
32,151,118,0,1,0,1,0,1,0,0,0,1,0
39,113,342,0,1,1,0,0,1,0,0,0,1,0
40,0,225,1,0,1,0,0,1,0,0,0,1,0
38,9,185,0,1,0,1,0,1,0,0,0,1,0
43,375,196,1,0,1,0,0,1,0,0,0,1,0
39,1142,276,1,0,1,0,0,1,0,0,0,1,0
54,2102,76,1,0,0,0,0,1,0,0,0,1,0
38,4325,87,0,1,0,1,0,1,0,0,0,1,0
40,217,195,1,0,1,0,0,1,0,0,0,1,0
55,131,744,1,0,1,0,0,1,0,0,0,1,0
42,1680,765,1,0,0,1,0,1,0,0,0,1,0
39,0,262,1,0,1,0,0,1,0,0,0,1,0
40,46,119,1,0,0,0,0,1,0,0,0,1,0
32,320,198,1,0,1,0,0,1,0,0,0,1,0
55,183,150,1,0,1,0,0,1,0,0,0,1,0
45,39,241,1,0,1,0,0,0,0,0,0,1,0
35,560,181,0,1,0,1,0,1,0,0,0,1,0
58,469,196,0,0,1,0,0,0,0,0,0,1,0
35,530,149,1,0,1,0,0,1,0,0,0,1,0
49,61,246,1,0,0,0,0,1,0,0,0,1,0
34,242,112,0,1,0,1,0,1,0,0,0,1,0
36,139,309,1,0,1,0,0,1,0,0,0,1,0
24,0,278,0,1,1,0,0,1,0,0,0,1,0
34,367,140,1,0,1,0,0,1,0,0,0,1,0
51,228,136,0,0,1,0,0,1,0,0,0,1,0
39,45248,1623,0,1,0,0,1,1,0,0,0,1,1
50,-84,101,1,0,0,0,1,1,0,0,0,1,0
32,310,144,0,1,1,0,0,1,0,0,0,1,0
42,132,238,1,0,0,0,1,1,0,0,0,1,0
50,797,354,1,0,1,0,0,1,0,0,0,1,0
40,71,79,1,0,1,0,0,0,0,0,0,1,0
46,2,187,0,0,0,0,1,1,0,0,0,1,0
37,231,451,1,0,0,1,0,1,1,0,0,1,0
34,270,159,1,0,1,0,0,1,1,0,0,1,0
44,274,409,1,0,1,0,0,1,1,0,0,1,0
40,-109,170,0,1,1,0,0,1,1,0,0,1,0
37,1,608,1,0,1,0,0,1,0,0,0,1,1
33,-60,243,0,1,1,0,0,0,0,0,0,1,0
35,89,145,1,0,1,0,0,1,0,0,0,1,0
58,-11,112,0,0,1,0,0,0,0,0,0,1,0
39,0,262,1,0,0,0,0,1,0,0,0,1,0
43,-509,124,1,0,1,0,0,1,0,0,0,1,0
39,408,53,1,0,0,0,0,1,0,0,0,1,0
36,58,134,0,1,0,0,0,1,0,0,0,1,0
57,1640,204,0,1,1,0,0,0,1,0,0,1,0
36,20,186,0,1,1,0,0,1,0,0,0,1,0
50,71,678,1,0,0,0,0,1,0,0,0,1,0
55,52,182,1,0,1,0,0,1,0,0,0,1,0
44,292,162,1,0,0,1,0,1,0,0,0,1,0
44,424,27,0,0,1,0,0,1,0,0,0,1,0
39,109,699,0,1,0,0,0,1,0,0,0,1,0
46,1044,43,1,0,0,0,1,1,0,0,0,1,0
39,983,97,1,0,1,0,0,1,0,0,0,1,0
34,869,1677,1,0,1,0,0,0,0,0,0,1,1
40,668,283,1,0,0,0,0,1,0,0,0,1,0
50,964,323,1,0,0,1,0,1,0,0,0,1,0
31,301,82,0,1,1,0,0,1,0,0,0,1,0
37,140,310,0,1,1,0,0,1,0,0,0,1,0
39,1877,185,0,1,1,0,0,1,0,0,0,1,0
51,1127,47,1,0,0,0,0,1,0,0,0,1,0
41,871,145,1,0,1,0,0,1,0,0,0,1,0
41,767,204,1,0,1,0,0,1,1,0,0,1,0
43,0,187,1,0,1,0,0,0,0,0,0,1,0
30,209,30,0,1,1,0,0,1,0,0,0,1,0
54,0,472,0,0,0,0,0,0,0,0,0,1,0
43,110,448,0,0,1,0,0,1,1,0,0,1,0
59,-76,264,0,0,0,1,0,1,1,0,0,1,0
47,178,169,1,0,0,0,1,1,0,0,0,1,0
40,-66,288,1,0,0,0,0,1,0,0,0,1,0
32,0,176,1,0,1,0,0,1,0,0,0,1,0
